tree_id,accession_number,common_name,scientific_name,additional_taxonomy,dbh,quantity,latitude,longitude,source,community_tag,memorial,age_class,condition_class,date_planted,date_inventoried,tree_asset_value
1,1-2022 U,Elm-American,Ulmus americana,,12,,41.831052875,-87.628747395,Unknown,,,Semi- mature,Fair,,,1582.56
2,2-2022 U,Elm-American,Ulmus americana,,12,,41.831057579,-87.628542281,Unknown,,,Semi- mature,Fair,,,1582.56
3,3-2022 U,Elm-American,Ulmus americana,,10,,41.831057959,-87.628452116,Unknown,,,Semi- mature,Good,,,1538.6
4,4-2022 U,Elm-American,Ulmus americana,,14,,41.831052401,-87.628339326,Unknown,,,Semi- mature,Good,,,3015.66
5,5-2022 U,Elm-American,Ulmus americana,,9,,41.831061894,-87.628223161,Unknown,,,Semi- mature,Fair,,,890.19
6,6-2022 U,Elm-American,Ulmus americana,,12,,41.831066249,-87.628137029,Unknown,,,Semi- mature,Good,,,2215.58
7,7-2022 U,Elm-American,Ulmus americana,,12,,41.831053946,-87.62802723,Unknown,,,Semi- mature,Good,,,2215.58
8,8-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,7,,41.831093308,-87.627861277,Unknown,,,Semi- mature,Good,,,452.35
9,9-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,10,,41.83110159,-87.627951738,Unknown,,,Semi- mature,Good,,,1538.6
10,10-2022 U,Common Baldcypress,Taxodium distichum,,10,,41.831101413,-87.628057077,Unknown,,,Semi- mature,Good,,,1538.6
11,11-2022 U,Common Baldcypress,Taxodium distichum,,12,,41.831085197,-87.628155702,Unknown,,,Semi- mature,Good,,,2215.58
12,12-2022 U,Common Baldcypress,Taxodium distichum,,12,,41.831100294,-87.628262375,Unknown,,,Semi- mature,Good,,,2215.58
13,13-2022 U,Common Baldcypress,Taxodium distichum,,14,,41.831077209,-87.62860737,Unknown,,,Semi- mature,Good,,,4221.92
14,14-2022 U,Common Baldcypress,Taxodium distichum,,9,,41.831082552,-87.628696957,Unknown,,,Semi- mature,Good,,,1246.27
15,15-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,12,,41.831128406,-87.628907005,Unknown,,,Semi- mature,Good,,,2215.58
16,16-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,9,,41.831193818,-87.628913776,Unknown,,,Semi- mature,Fair,,,534.11
17,17-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,11,,41.831290687,-87.628915177,Unknown,,,Semi- mature,Good,,,1861.71
18,18-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,12,,41.831351458,-87.628917562,Unknown,,,Semi- mature,Fair,,,1582.56
19,19-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,6,,41.831608654,-87.628907842,Unknown,,,Semi- mature,Fair,,,395.64
20,20-2022 U,Common Baldcypress,Taxodium distichum,,6,,41.831693714,-87.628904219,Unknown,,,Semi- mature,Fair,,,395.64
21,21-2022 U,Common Baldcypress,Taxodium distichum,,5,,41.831763324,-87.628908282,Unknown,,,Semi- mature,Fair,,,274.75
22,22-2022 U,Dawn Redwood,Metasequoia glyptostroboides,,13,,41.832096593,-87.628927493,Unknown,,,Semi- mature,Good,,,2600.23
23,23-2022 U,Dawn Redwood,Metasequoia glyptostroboides,,12,,41.832138025,-87.628933472,Unknown,,,Semi- mature,Good,,,2215.58
24,24-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,12,,41.832224784,-87.628927076,Unknown,,,Semi- mature,Fair,,,949.54
25,25-2022 U,Maple-Freeman's,Acer x freemanii,,7,,41.832327376,-87.628927245,Unknown,,,Semi- mature,Good,,,753.91
27,27-2022 U,Hackberry,Celtis occidentalis,,10,,41.832449058,-87.62894135,Unknown,,,Semi- mature,Good,,,923.16
29,29-2022 U,Maple-Freeman's,Acer x freemanii,,6,,41.83256969,-87.628933352,Unknown,,,Semi- mature,Fair,,,395.64
30,30-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,18,,41.832726174,-87.62884307,Unknown,,,Semi- mature,Good,,,4985.06
31,31-2022 U,Redbud-Eastern,Cercis canadensis,,"6,4,3",,41.832722558,-87.628714416,Unknown,,,Semi- mature,Good,,,938.55
